year,category,tariff_rate,coverage_ratio,trade_value_millions,trade_reduction_pct,key_event,year_fraction
2017,大豆及油籽,4.7,0.02,13785.5,0.1,,1.0
2018,大豆及油籽,25.8,0.92,11483.6,18.9,对美水果、猪肉等产品加征关税,1.0
2019,大豆及油籽,25.3,0.71,12416.1,12.9,对美反制措施升级,1.0
2020,大豆及油籽,24.7,0.35,11809.4,2.8,中美第一阶段协议签署,1.0
2021,大豆及油籽,25.4,0.3,13123.6,2.2,,1.0
2022,大豆及油籽,24.1,0.35,13161.6,2.0,,1.0
2023,大豆及油籽,25.7,0.61,13717.4,6.2,,1.0
2024,大豆及油籽,25.1,0.61,13099.4,4.9,新一轮对美反制措施,1.0
2025,大豆及油籽,25.5,0.64,3471.9,5.3,,0.25
2017,汽车及零部件,4.9,0.0,12033.3,0.0,,1.0
2018,汽车及零部件,25.2,0.81,11044.9,12.3,对美农产品、汽车等加征25%关税,1.0
2019,汽车及零部件,24.6,0.84,10945.7,11.1,对美反制措施升级,1.0
2020,汽车及零部件,25.8,0.65,8864.2,8.1,大幅增加美国农产品进口,1.0
2021,汽车及零部件,24.9,0.71,11566.2,7.4,,1.0
2022,汽车及零部件,25.9,0.66,11594.4,6.1,,1.0
2023,汽车及零部件,25.7,0.69,11634.1,5.3,,1.0
2024,汽车及零部件,34.1,0.89,10944.1,7.3,新一轮对美反制措施,1.0
2025,汽车及零部件,34.1,0.92,2813.6,7.5,,0.25
2017,电子产品及零部件,5.7,0.04,10067.6,0.1,,1.0
2018,电子产品及零部件,9.9,0.58,9525.0,2.3,对美农产品、汽车等加征25%关税,1.0
2019,电子产品及零部件,9.1,0.63,9827.7,2.1,对美反制措施升级,1.0
2020,电子产品及零部件,9.3,0.59,8065.2,1.8,大幅增加美国农产品进口,1.0
2021,电子产品及零部件,9.3,0.73,9979.2,1.9,,1.0
2022,电子产品及零部件,10.2,0.65,10103.1,1.6,,1.0
2023,电子产品及零部件,10.9,0.71,9633.1,1.6,,1.0
2024,电子产品及零部件,14.3,0.82,9505.4,1.9,新一轮对美反制措施,1.0
2025,电子产品及零部件,15.2,0.86,2419.9,2.1,,0.25
2017,飞机及航空设备,4.7,0.04,14584.0,0.0,,1.0
2018,飞机及航空设备,14.1,0.29,14907.0,0.8,对美农产品、汽车等加征25%关税,1.0
2019,飞机及航空设备,15.2,0.27,14356.7,0.7,对美反制措施升级,1.0
2020,飞机及航空设备,14.4,0.32,12923.8,0.7,大幅增加美国农产品进口,1.0
2021,飞机及航空设备,15.1,0.38,15335.2,0.8,,1.0
2022,飞机及航空设备,14.4,0.36,14635.9,0.6,,1.0
2023,飞机及航空设备,15.6,0.42,15296.9,0.7,,1.0
2024,飞机及航空设备,19.0,0.57,15434.0,0.9,新一轮对美反制措施,1.0
2025,飞机及航空设备,20.5,0.57,3539.4,0.9,,0.25
2017,水果及坚果,4.3,0.01,1245.2,0.0,,1.0
2018,水果及坚果,4.1,0.0,1181.6,0.0,对美600亿美元商品加征5-10%关税,1.0
2019,水果及坚果,30.1,0.94,985.8,17.9,豁免部分大豆、猪肉等农产品关税,1.0
2020,水果及坚果,29.7,0.99,807.2,16.5,大幅增加美国农产品进口,1.0
2021,水果及坚果,30.3,0.93,1030.3,13.8,,1.0
2022,水果及坚果,30.5,0.98,1065.3,12.6,中美贸易保持韧性但结构调整,1.0
2023,水果及坚果,30.3,0.95,1131.8,10.0,,1.0
2024,水果及坚果,29.2,0.95,1133.1,7.8,新一轮对美反制措施,1.0
2025,水果及坚果,30.0,0.93,277.9,7.8,,0.25
2017,猪肉及肉制品,4.5,0.01,1490.8,0.0,,1.0
2018,猪肉及肉制品,24.3,0.88,1329.6,10.7,对美水果、猪肉等产品加征关税,1.0
2019,猪肉及肉制品,25.8,0.48,1379.8,5.0,对美反制措施升级,1.0
2020,猪肉及肉制品,25.2,0.5,1256.4,4.5,中美第一阶段协议签署,1.0
2021,猪肉及肉制品,25.9,0.53,1439.0,4.3,,1.0
2022,猪肉及肉制品,25.0,0.71,1407.1,5.3,,1.0
2023,猪肉及肉制品,24.9,0.67,1433.8,4.2,,1.0
2024,猪肉及肉制品,25.7,0.71,1417.6,3.6,新一轮对美反制措施,1.0
2025,猪肉及肉制品,24.9,0.68,344.8,3.4,,0.25
2017,化学品及原料,5.8,0.0,4641.4,0.0,,1.0
2018,化学品及原料,9.7,0.57,4388.3,2.2,对美农产品、汽车等加征25%关税,1.0
2019,化学品及原料,9.6,0.65,4374.2,2.2,对美反制措施升级,1.0
2020,化学品及原料,9.0,0.72,3764.2,2.1,大幅增加美国农产品进口,1.0
2021,化学品及原料,9.1,0.7,4385.7,1.8,,1.0
2022,化学品及原料,9.3,0.73,4559.4,1.6,,1.0
2023,化学品及原料,9.2,0.73,4439.8,1.4,,1.0
2024,化学品及原料,14.0,0.84,4449.9,1.9,新一轮对美反制措施,1.0
2025,化学品及原料,16.0,0.77,1111.6,2.0,,0.25
2017,医疗设备,4.1,0.04,3024.2,0.1,,1.0
2018,医疗设备,10.2,0.59,2845.6,1.8,对美农产品、汽车等加征25%关税,1.0
2019,医疗设备,10.7,0.56,3099.2,1.6,对美反制措施升级,1.0
2020,医疗设备,10.4,0.72,2609.5,1.8,大幅增加美国农产品进口,1.0
2021,医疗设备,9.2,0.67,3105.2,1.3,,1.0
2022,医疗设备,10.4,0.71,2897.8,1.3,,1.0
2023,医疗设备,9.8,0.74,2918.9,1.1,,1.0
2024,医疗设备,14.6,0.8,3031.4,1.4,新一轮对美反制措施,1.0
