round,hs_code,product_description,category,implementation_date,mfn_tariff_rate,additional_tariff_rate,total_tariff_rate,annual_import_value_millions,note
1,02009630,美国产禽肉，冷冻，带骨,肉及食用杂碎,2018-04-02,2.4,25,27.4,61.11,
1,08989622,美国产杏仁，新鲜,食用水果及坚果,2018-04-02,2.6,15,17.6,185.37,
1,02754952,美国产猪肉，新鲜，带骨,肉及食用杂碎,2018-04-02,6.8,25,31.8,165.51,
1,08180443,美国产苹果，新鲜,食用水果及坚果,2018-04-02,8.9,15,23.9,169.92,
1,08576941,美国产樱桃，干燥,食用水果及坚果,2018-04-02,3.5,15,18.5,106.16,
1,76449464,美国产铝及其制品产品，规格型号449464,铝及其制品,2018-04-02,2.4,25,27.4,14.24,
1,02644469,美国产牛肉，新鲜，带骨,肉及食用杂碎,2018-04-02,8.2,15,23.2,96.59,
1,07528361,美国产食用蔬菜、根及块茎产品，规格型号528361,食用蔬菜、根及块茎,2018-04-02,7.9,25,32.9,189.87,
1,02249899,美国产禽肉，冷冻，去骨,肉及食用杂碎,2018-04-02,5.7,15,20.7,169.87,
1,07776881,美国产食用蔬菜、根及块茎产品，规格型号776881,食用蔬菜、根及块茎,2018-04-02,3.3,15,18.3,67.88,
1,76378947,美国产铝及其制品产品，规格型号378947,铝及其制品,2018-04-02,4.4,25,29.4,161.73,
1,07124205,美国产食用蔬菜、根及块茎产品，规格型号124205,食用蔬菜、根及块茎,2018-04-02,8.7,25,33.7,62.52,
1,02941708,美国产牛肉，冷冻，带骨,肉及食用杂碎,2018-04-02,6.7,15,21.7,23.05,
1,02708665,美国产猪肉，新鲜，带骨,肉及食用杂碎,2018-04-02,5.3,25,30.3,172.5,
1,07295543,美国产食用蔬菜、根及块茎产品，规格型号295543,食用蔬菜、根及块茎,2018-04-02,6.0,25,31.0,112.32,
1,07200869,美国产食用蔬菜、根及块茎产品，规格型号200869,食用蔬菜、根及块茎,2018-04-02,4.5,15,19.5,1.94,
1,07844085,美国产食用蔬菜、根及块茎产品，规格型号844085,食用蔬菜、根及块茎,2018-04-02,2.2,15,17.2,50.67,
1,08501904,美国产杏仁，干燥,食用水果及坚果,2018-04-02,5.8,25,30.8,153.22,
1,07294392,美国产食用蔬菜、根及块茎产品，规格型号294392,食用蔬菜、根及块茎,2018-04-02,8.5,15,23.5,39.19,
1,02096102,美国产禽肉，冷藏，去骨,肉及食用杂碎,2018-04-02,9.7,15,24.7,115.35,
1,76488309,美国产铝及其制品产品，规格型号488309,铝及其制品,2018-04-02,5.5,15,20.5,38.89,
1,02094105,美国产禽肉，冷藏，带骨,肉及食用杂碎,2018-04-02,8.4,15,23.4,168.05,
1,07196770,美国产食用蔬菜、根及块茎产品，规格型号196770,食用蔬菜、根及块茎,2018-04-02,9.9,15,24.9,189.34,
1,07571730,美国产食用蔬菜、根及块茎产品，规格型号571730,食用蔬菜、根及块茎,2018-04-02,4.6,15,19.6,184.19,
1,02185820,美国产禽肉，新鲜，去骨,肉及食用杂碎,2018-04-02,7.3,15,22.3,182.4,
1,76561082,美国产铝及其制品产品，规格型号561082,铝及其制品,2018-04-02,4.5,15,19.5,195.58,
1,08716518,美国产苹果，干燥,食用水果及坚果,2018-04-02,8.7,25,33.7,192.44,
1,02247619,美国产禽肉，冷藏，去骨,肉及食用杂碎,2018-04-02,8.4,25,33.4,176.4,
1,02904365,美国产禽肉，冷冻，带骨,肉及食用杂碎,2018-04-02,8.8,25,33.8,109.03,
1,07719354,美国产食用蔬菜、根及块茎产品，规格型号719354,食用蔬菜、根及块茎,2018-04-02,5.7,15,20.7,184.85,
1,08356127,美国产橙子，新鲜,食用水果及坚果,2018-04-02,7.9,15,22.9,40.76,
1,76052454,美国产铝及其制品产品，规格型号052454,铝及其制品,2018-04-02,4.7,15,19.7,137.1,
1,08887379,美国产樱桃，干燥,食用水果及坚果,2018-04-02,7.7,15,22.7,49.77,
1,76125654,美国产铝及其制品产品，规格型号125654,铝及其制品,2018-04-02,4.8,15,19.8,126.14,
1,76523733,美国产铝及其制品产品，规格型号523733,铝及其制品,2018-04-02,7.1,15,22.1,29.5,
1,02139904,美国产牛肉，冷藏，去骨,肉及食用杂碎,2018-04-02,9.9,15,24.9,40.7,
1,02469872,美国产猪肉，冷冻，带骨,肉及食用杂碎,2018-04-02,6.7,25,31.7,80.97,
1,76866125,美国产铝及其制品产品，规格型号866125,铝及其制品,2018-04-02,5.7,15,20.7,95.52,
1,76675524,美国产铝及其制品产品，规格型号675524,铝及其制品,2018-04-02,9.1,15,24.1,69.93,
1,07814758,美国产食用蔬菜、根及块茎产品，规格型号814758,食用蔬菜、根及块茎,2018-04-02,2.1,15,17.1,192.27,
1,08410380,美国产核桃，新鲜,食用水果及坚果,2018-04-02,3.2,15,18.2,57.04,
1,02243361,美国产牛肉，冷藏，带骨,肉及食用杂碎,2018-04-02,9.0,25,34.0,94.78,
1,02720544,美国产猪肉，冷藏，去骨,肉及食用杂碎,2018-04-02,2.3,25,27.3,27.11,
1,76347235,美国产铝及其制品产品，规格型号347235,铝及其制品,2018-04-02,3.5,25,28.5,192.76,
1,76537521,美国产铝及其制品产品，规格型号537521,铝及其制品,2018-04-02,6.5,15,21.5,174.94,
1,07958363,美国产食用蔬菜、根及块茎产品，规格型号958363,食用蔬菜、根及块茎,2018-04-02,9.3,25,34.3,74.9,
1,02297419,美国产禽肉，冷藏，带骨,肉及食用杂碎,2018-04-02,7.0,25,32.0,182.92,
1,08301305,美国产樱桃，新鲜,食用水果及坚果,2018-04-02,4.8,15,19.8,97.1,
1,02350714,美国产禽肉，新鲜，带骨,肉及食用杂碎,2018-04-02,4.3,25,29.3,3.41,
1,07734315,美国产食用蔬菜、根及块茎产品，规格型号734315,食用蔬菜、根及块茎,2018-04-02,9.1,25,34.1,138.78,
1,07787998,美国产食用蔬菜、根及块茎产品，规格型号787998,食用蔬菜、根及块茎,2018-04-02,6.8,15,21.8,113.12,
1,02973387,美国产禽肉，冷冻，带骨,肉及食用杂碎,2018-04-02,8.7,15,23.7,181.46,
1,02000365,美国产猪肉，新鲜，去骨,肉及食用杂碎,2018-04-02,10.0,25,35.0,24.69,
1,08854390,美国产核桃，干燥,食用水果及坚果,2018-04-02,7.1,15,22.1,160.04,
1,07395352,美国产食用蔬菜、根及块茎产品，规格型号395352,食用蔬菜、根及块茎,2018-04-02,6.1,15,21.1,141.46,
1,76782647,美国产铝及其制品产品，规格型号782647,铝及其制品,2018-04-02,2.6,25,27.6,5.25,
1,07990039,美国产食用蔬菜、根及块茎产品，规格型号990039,食用蔬菜、根及块茎,2018-04-02,4.9,25,29.9,100.57,
1,02790917,美国产禽肉，冷藏，去骨,肉及食用杂碎,2018-04-02,3.6,25,28.6,33.13,
1,76884899,美国产铝及其制品产品，规格型号884899,铝及其制品,2018-04-02,2.1,25,27.1,32.07,
1,02706326,美国产猪肉，冷冻，去骨,肉及食用杂碎,2018-04-02,7.1,15,22.1,126.02,
1,76604685,美国产铝及其制品产品，规格型号604685,铝及其制品,2018-04-02,8.5,25,33.5,84.46,
1,02196148,美国产禽肉，冷藏，去骨,肉及食用杂碎,2018-04-02,8.3,15,23.3,36.75,
1,02328418,美国产牛肉，冷藏，去骨,肉及食用杂碎,2018-04-02,5.2,15,20.2,154.87,
1,07865613,美国产食用蔬菜、根及块茎产品，规格型号865613,食用蔬菜、根及块茎,2018-04-02,4.8,15,19.8,169.16,
1,76141017,美国产铝及其制品产品，规格型号141017,铝及其制品,2018-04-02,3.6,25,28.6,78.18,
1,02942439,美国产猪肉，冷藏，带骨,肉及食用杂碎,2018-04-02,7.8,25,32.8,92.03,
1,07965876,美国产食用蔬菜、根及块茎产品，规格型号965876,食用蔬菜、根及块茎,2018-04-02,3.6,25,28.6,36.6,
1,76557285,美国产铝及其制品产品，规格型号557285,铝及其制品,2018-04-02,5.8,25,30.8,31.52,
1,02032042,美国产禽肉，冷藏，去骨,肉及食用杂碎,2018-04-02,2.3,25,27.3,167.49,
1,02655320,美国产禽肉，新鲜，带骨,肉及食用杂碎,2018-04-02,8.9,15,23.9,92.75,
1,07611989,美国产食用蔬菜、根及块茎产品，规格型号611989,食用蔬菜、根及块茎,2018-04-02,5.8,15,20.8,195.53,
1,07365342,美国产食用蔬菜、根及块茎产品，规格型号365342,食用蔬菜、根及块茎,2018-04-02,9.4,15,24.4,86.97,
1,02371877,美国产牛肉，冷藏，去骨,肉及食用杂碎,2018-04-02,3.2,15,18.2,188.35,
1,76587368,美国产铝及其制品产品，规格型号587368,铝及其制品,2018-04-02,4.9,15,19.9,42.99,
1,07756188,美国产食用蔬菜、根及块茎产品，规格型号756188,食用蔬菜、根及块茎,2018-04-02,3.4,25,28.4,44.67,
1,76008877,美国产铝及其制品产品，规格型号008877,铝及其制品,2018-04-02,7.5,15,22.5,46.13,
1,08518568,美国产杏仁，新鲜,食用水果及坚果,2018-04-02,7.9,15,22.9,58.62,
1,07993818,美国产食用蔬菜、根及块茎产品，规格型号993818,食用蔬菜、根及块茎,2018-04-02,8.3,15,23.3,51.66,
1,02639868,美国产牛肉，冷冻，去骨,肉及食用杂碎,2018-04-02,4.2,15,19.2,74.84,
1,76824296,美国产铝及其制品产品，规格型号824296,铝及其制品,2018-04-02,2.0,15,17.0,139.74,
1,02834456,美国产牛肉，冷冻，带骨,肉及食用杂碎,2018-04-02,9.9,25,34.9,188.69,
1,08964986,美国产樱桃，新鲜,食用水果及坚果,2018-04-02,9.1,15,24.1,93.31,
1,08717304,美国产核桃，新鲜,食用水果及坚果,2018-04-02,9.3,15,24.3,19.0,
1,76905298,美国产铝及其制品产品，规格型号905298,铝及其制品,2018-04-02,5.2,15,20.2,113.16,
1,02660190,美国产猪肉，冷冻，去骨,肉及食用杂碎,2018-04-02,4.6,15,19.6,137.88,
1,02906050,美国产牛肉，冷藏，去骨,肉及食用杂碎,2018-04-02,8.2,15,23.2,44.11,
1,76639634,美国产铝及其制品产品，规格型号639634,铝及其制品,2018-04-02,8.2,25,33.2,27.27,
1,76729075,美国产铝及其制品产品，规格型号729075,铝及其制品,2018-04-02,9.9,15,24.9,65.13,
1,07822760,美国产食用蔬菜、根及块茎产品，规格型号822760,食用蔬菜、根及块茎,2018-04-02,5.4,15,20.4,91.33,
1,08399152,美国产核桃，新鲜,食用水果及坚果,2018-04-02,9.1,25,34.1,151.88,
1,76940858,美国产铝及其制品产品，规格型号940858,铝及其制品,2018-04-02,7.7,15,22.7,51.8,
1,02182121,美国产猪肉，冷冻，去骨,肉及食用杂碎,2018-04-02,8.1,25,33.1,165.88,
1,08460742,美国产橙子，新鲜,食用水果及坚果,2018-04-02,8.1,15,23.1,180.38,
1,07131779,美国产食用蔬菜、根及块茎产品，规格型号131779,食用蔬菜、根及块茎,2018-04-02,6.1,25,31.1,114.16,
1,02497168,美国产猪肉，冷冻，去骨,肉及食用杂碎,2018-04-02,8.0,25,33.0,89.83,
1,08841027,美国产樱桃，新鲜,食用水果及坚果,2018-04-02,9.7,15,24.7,67.85,
1,07901163,美国产食用蔬菜、根及块茎产品，规格型号901163,食用蔬菜、根及块茎,2018-04-02,7.1,25,32.1,58.97,
1,76615251,美国产铝及其制品产品，规格型号615251,铝及其制品,2018-04-02,5.5,15,20.5,6.12,
1,76151619,美国产铝及其制品产品，规格型号151619,铝及其制品,2018-04-02,5.3,15,20.3,69.06,
1,08346966,美国产樱桃，新鲜,食用水果及坚果,2018-04-02,5.0,25,30.0,157.93,
1,02318910,美国产牛肉，新鲜，去骨,肉及食用杂碎,2018-04-02,7.6,15,22.6,137.26,
1,08113253,美国产橙子，新鲜,食用水果及坚果,2018-04-02,2.5,25,27.5,47.51,
1,07354683,美国产食用蔬菜、根及块茎产品，规格型号354683,食用蔬菜、根及块茎,2018-04-02,8.3,15,23.3,152.01,
1,07815243,美国产食用蔬菜、根及块茎产品，规格型号815243,食用蔬菜、根及块茎,2018-04-02,4.9,15,19.9,94.01,
1,07499018,美国产食用蔬菜、根及块茎产品，规格型号499018,食用蔬菜、根及块茎,2018-04-02,5.1,25,30.1,56.17,
1,76959697,美国产铝及其制品产品，规格型号959697,铝及其制品,2018-04-02,6.6,15,21.6,22.55,
1,76127056,美国产铝及其制品产品，规格型号127056,铝及其制品,2018-04-02,3.1,25,28.1,51.15,
1,07259740,美国产食用蔬菜、根及块茎产品，规格型号259740,食用蔬菜、根及块茎,2018-04-02,9.4,25,34.4,107.55,
1,08436785,美国产橙子，干燥,食用水果及坚果,2018-04-02,9.9,15,24.9,149.05,
1,02312234,美国产猪肉，冷藏，去骨,肉及食用杂碎,2018-04-02,6.7,15,21.7,181.27,
1,76735892,美国产铝及其制品产品，规格型号735892,铝及其制品,2018-04-02,2.4,25,27.4,52.28,
1,08131525,美国产橙子，新鲜,食用水果及坚果,2018-04-02,7.7,15,22.7,32.18,
1,07307109,美国产食用蔬菜、根及块茎产品，规格型号307109,食用蔬菜、根及块茎,2018-04-02,6.6,15,21.6,65.39,
1,02278402,美国产猪肉，冷藏，去骨,肉及食用杂碎,2018-04-02,7.2,25,32.2,135.13,
1,08406907,美国产杏仁，新鲜,食用水果及坚果,2018-04-02,6.7,25,31.7,197.22,
1,08388548,美国产橙子，新鲜,食用水果及坚果,2018-04-02,7.0,25,32.0,180.97,
1,07921850,美国产食用蔬菜、根及块茎产品，规格型号921850,食用蔬菜、根及块茎,2018-04-02,4.4,15,19.4,104.32,
1,08974531,美国产核桃，干燥,食用水果及坚果,2018-04-02,8.7,15,23.7,130.16,
1,07715382,美国产食用蔬菜、根及块茎产品，规格型号715382,食用蔬菜、根及块茎,2018-04-02,2.6,25,27.6,104.21,
1,07654402,美国产食用蔬菜、根及块茎产品，规格型号654402,食用蔬菜、根及块茎,2018-04-02,9.2,15,24.2,71.46,
1,76286267,美国产铝及其制品产品，规格型号286267,铝及其制品,2018-04-02,9.0,25,34.0,155.56,
1,07603205,美国产食用蔬菜、根及块茎产品，规格型号603205,食用蔬菜、根及块茎,2018-04-02,4.0,25,29.0,50.78,
1,08351850,美国产苹果，干燥,食用水果及坚果,2018-04-02,2.2,25,27.2,88.38,
1,02374277,美国产猪肉，冷冻，带骨,肉及食用杂碎,2018-04-02,7.0,25,32.0,167.24,
1,76468220,美国产铝及其制品产品，规格型号468220,铝及其制品,2018-04-02,7.2,25,32.2,185.33,
1,08922952,美国产苹果，新鲜,食用水果及坚果,2018-04-02,6.2,25,31.2,9.5,
1,02555067,美国产牛肉，新鲜，去骨,肉及食用杂碎,2018-04-02,8.7,15,23.7,17.78,
1,08262287,美国产苹果，新鲜,食用水果及坚果,2018-04-02,5.4,25,30.4,112.46,
2,12026393,美国产花生，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,9.3,25,34.3,104.37,
2,03899581,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号899581,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.8,25,27.8,83.14,
2,87963850,美国产货车，排量为1146cc,车辆及其零件、附件,2018-07-06,8.3,25,33.3,141.81,
2,12011376,美国产亚麻籽，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,3.3,25,28.3,44.0,
2,12169003,美国产葵花籽，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,2.6,25,27.6,161.94,
2,12176853,美国产花生，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,7.6,25,32.6,32.51,
2,87365906,美国产货车，功率为4810cc,车辆及其零件、附件,2018-07-06,5.9,25,30.9,66.39,
2,12132948,美国产葵花籽，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,5.3,25,30.3,187.8,
2,12128217,美国产亚麻籽，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,8.5,25,33.5,16.97,
2,03908369,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号908369,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,8.4,25,33.4,159.49,
2,87484517,美国产乘用车，排量为4432cc,车辆及其零件、附件,2018-07-06,7.5,25,32.5,68.87,
2,87945945,美国产乘用车，功率为3164cc,车辆及其零件、附件,2018-07-06,5.5,25,30.5,74.77,
2,12154077,美国产大豆，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,6.0,25,31.0,77.99,
2,03840375,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号840375,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.1,25,27.1,96.69,
2,87918665,美国产乘用车，功率为4031cc,车辆及其零件、附件,2018-07-06,5.5,25,30.5,98.06,
2,03740564,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号740564,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,6.4,25,31.4,121.99,
2,03554448,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号554448,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,6.5,25,31.5,78.87,
2,12042997,美国产花生，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,4.7,25,29.7,19.9,
2,03985057,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号985057,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,4.3,25,29.3,93.07,
2,87754160,美国产乘用车，功率为2286cc,车辆及其零件、附件,2018-07-06,6.6,25,31.6,162.98,
2,87509807,美国产越野车，功率为4494cc,车辆及其零件、附件,2018-07-06,8.0,25,33.0,29.46,
2,03257348,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号257348,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,4.4,25,29.4,168.67,
2,12262074,美国产花生，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,5.5,25,30.5,102.92,
2,12141537,美国产亚麻籽，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,2.1,25,27.1,98.45,
2,03485746,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号485746,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.6,25,27.6,158.15,
2,87476257,美国产货车，功率为1108cc,车辆及其零件、附件,2018-07-06,7.0,25,32.0,76.99,
2,03607944,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号607944,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,5.2,25,30.2,18.37,
2,12722753,美国产花生，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,3.6,25,28.6,106.82,
2,12139375,美国产花生，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,8.4,25,33.4,154.78,
2,87553902,美国产货车，功率为4484cc,车辆及其零件、附件,2018-07-06,2.5,25,27.5,84.3,
2,87027894,美国产越野车，排量为2612cc,车辆及其零件、附件,2018-07-06,3.8,25,28.8,114.88,
2,12228520,美国产花生，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,2.9,25,27.9,192.76,
2,03632357,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号632357,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,6.7,25,31.7,152.05,
2,12589775,美国产花生，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,2.9,25,27.9,187.25,
2,03956846,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号956846,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,5.6,25,30.6,131.74,
2,03843234,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号843234,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,8.0,25,33.0,194.37,
2,87260232,美国产越野车，功率为4630cc,车辆及其零件、附件,2018-07-06,7.1,25,32.1,127.93,
2,03661108,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号661108,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.3,25,27.3,17.12,
2,03252965,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号252965,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,7.7,25,32.7,168.1,
