region,region_type,year,gdp_growth,unemployment_rate,investment_growth,consumption_growth,trade_dependency,year_fraction
广东,沿海制造业,2017,7.5,3.3,9.4,7.2,0.9,1.0
广东,沿海制造业,2018,7.2,3.5,8.8,7.1,0.9,1.0
广东,沿海制造业,2019,6.5,3.2,6.9,6.6,0.9,1.0
广东,沿海制造业,2020,4.7,4.2,6.1,4.5,0.9,1.0
广东,沿海制造业,2021,6.8,3.6,5.8,5.9,0.9,1.0
广东,沿海制造业,2022,5.5,3.2,5.2,6.4,0.9,1.0
广东,沿海制造业,2023,3.8,2.8,4.7,4.7,0.9,1.0
广东,沿海制造业,2024,4.3,2.8,6.8,7.2,0.9,1.0
广东,沿海制造业,2025,4.8,2.7,8.2,6.1,0.9,0.25
江苏,沿海制造业,2017,8.5,3.1,12.0,9.0,0.85,1.0
江苏,沿海制造业,2018,6.2,3.0,6.3,5.4,0.85,1.0
江苏,沿海制造业,2019,5.2,3.4,4.0,5.0,0.85,1.0
江苏,沿海制造业,2020,5.6,4.5,7.3,5.9,0.85,1.0
江苏,沿海制造业,2021,4.9,3.7,4.9,3.1,0.85,1.0
江苏,沿海制造业,2022,4.4,3.1,4.7,3.8,0.85,1.0
江苏,沿海制造业,2023,5.4,3.0,4.4,6.4,0.85,1.0
江苏,沿海制造业,2024,4.7,2.7,7.4,6.5,0.85,1.0
江苏,沿海制造业,2025,5.5,2.6,8.8,6.5,0.85,0.25
浙江,沿海制造业,2017,6.5,3.3,8.3,7.7,0.8,1.0
浙江,沿海制造业,2018,5.8,3.3,5.9,6.6,0.8,1.0
浙江,沿海制造业,2019,5.6,3.4,6.3,5.3,0.8,1.0
浙江,沿海制造业,2020,4.0,4.3,5.3,4.4,0.8,1.0
浙江,沿海制造业,2021,4.6,4.0,6.4,4.5,0.8,1.0
浙江,沿海制造业,2022,4.1,2.9,5.2,2.7,0.8,1.0
浙江,沿海制造业,2023,3.1,3.3,3.8,4.7,0.8,1.0
浙江,沿海制造业,2024,3.2,2.7,5.2,4.5,0.8,1.0
浙江,沿海制造业,2025,4.6,2.9,10.7,6.2,0.8,0.25
上海,沿海制造业,2017,6.9,4.1,8.0,9.4,0.85,1.0
上海,沿海制造业,2018,5.3,4.1,5.7,6.2,0.85,1.0
上海,沿海制造业,2019,4.8,4.1,6.8,4.7,0.85,1.0
上海,沿海制造业,2020,4.6,4.8,5.7,3.1,0.85,1.0
上海,沿海制造业,2021,4.5,4.2,4.6,3.8,0.85,1.0
上海,沿海制造业,2022,4.5,4.2,3.2,3.9,0.85,1.0
上海,沿海制造业,2023,3.1,3.6,1.9,2.9,0.85,1.0
上海,沿海制造业,2024,3.7,3.4,6.7,6.3,0.85,1.0
上海,沿海制造业,2025,4.7,3.3,7.4,5.3,0.85,0.25
山东,沿海制造业,2017,7.0,3.3,7.9,8.5,0.7,1.0
山东,沿海制造业,2018,7.2,3.2,6.6,8.2,0.7,1.0
山东,沿海制造业,2019,6.0,3.4,6.6,6.2,0.7,1.0
山东,沿海制造业,2020,5.3,4.3,6.1,4.3,0.7,1.0
山东,沿海制造业,2021,5.5,3.8,5.4,4.7,0.7,1.0
山东,沿海制造业,2022,5.2,3.3,5.3,3.9,0.7,1.0
山东,沿海制造业,2023,3.9,2.9,6.0,5.0,0.7,1.0
山东,沿海制造业,2024,4.1,2.9,7.4,6.1,0.7,1.0
山东,沿海制造业,2025,3.4,2.8,8.1,5.2,0.7,0.25
湖北,中部地区,2017,7.6,3.8,11.1,6.3,0.6,1.0
湖北,中部地区,2018,7.3,3.4,6.5,6.7,0.6,1.0
湖北,中部地区,2019,6.8,4.2,8.1,7.8,0.6,1.0
湖北,中部地区,2020,5.5,4.9,4.9,5.6,0.6,1.0
湖北,中部地区,2021,5.5,4.6,6.1,6.1,0.6,1.0
湖北,中部地区,2022,6.0,3.7,6.8,5.6,0.6,1.0
湖北,中部地区,2023,4.9,3.9,4.2,6.0,0.6,1.0
湖北,中部地区,2024,6.0,3.4,8.3,8.2,0.6,1.0
湖北,中部地区,2025,5.2,3.2,8.6,5.8,0.6,0.25
湖南,中部地区,2017,7.6,3.9,10.0,7.5,0.5,1.0
湖南,中部地区,2018,7.3,4.1,7.9,7.5,0.5,1.0
湖南,中部地区,2019,7.0,3.9,7.0,7.1,0.5,1.0
湖南,中部地区,2020,6.2,4.9,6.8,5.7,0.5,1.0
湖南,中部地区,2021,5.8,4.4,5.2,6.6,0.5,1.0
湖南,中部地区,2022,5.1,3.6,5.7,5.0,0.5,1.0
湖南,中部地区,2023,5.5,3.7,5.6,5.1,0.5,1.0
湖南,中部地区,2024,6.1,3.4,9.7,7.8,0.5,1.0
湖南,中部地区,2025,6.7,3.1,11.1,8.8,0.5,0.25
河南,中部地区,2017,8.9,3.5,10.3,9.7,0.4,1.0
河南,中部地区,2018,7.4,4.0,8.2,7.4,0.4,1.0
河南,中部地区,2019,7.0,3.6,5.3,6.4,0.4,1.0
河南,中部地区,2020,7.2,3.9,9.0,8.9,0.4,1.0
河南,中部地区,2021,5.8,3.7,7.1,6.3,0.4,1.0
河南,中部地区,2022,4.7,3.4,6.4,4.6,0.4,1.0
河南,中部地区,2023,5.3,3.1,5.4,5.8,0.4,1.0
河南,中部地区,2024,5.5,2.8,9.3,6.2,0.4,1.0
河南,中部地区,2025,6.4,2.9,10.0,7.3,0.4,0.25
安徽,中部地区,2017,8.2,4.0,9.5,7.5,0.55,1.0
安徽,中部地区,2018,7.2,3.6,9.8,7.5,0.55,1.0
安徽,中部地区,2019,6.4,3.4,5.6,6.2,0.55,1.0
安徽,中部地区,2020,6.6,4.5,7.4,6.4,0.55,1.0
安徽,中部地区,2021,6.2,4.0,7.8,6.4,0.55,1.0
安徽,中部地区,2022,6.1,3.6,6.9,6.6,0.55,1.0
安徽,中部地区,2023,5.4,3.9,7.6,5.6,0.55,1.0
安徽,中部地区,2024,6.2,3.0,8.3,9.2,0.55,1.0
