year,category,export_value_millions,import_value_millions,trade_balance_millions,export_share,import_share,event,year_fraction
2017,电子产品,15178.6,161316.5,-146137.9,0.117,0.323,,1.0
2017,机械设备,17680.7,101138.0,-83457.3,0.136,0.202,,1.0
2017,家具和寝具,1406.3,36045.6,-34639.3,0.011,0.072,,1.0
2017,玩具和体育用品,1271.1,27458.1,-26187.1,0.01,0.055,,1.0
2017,塑料和橡胶制品,5891.7,24503.2,-18611.5,0.045,0.049,,1.0
2017,车辆及零部件,10679.5,15791.4,-5111.9,0.082,0.032,,1.0
2017,钢铁制品,2851.9,10209.4,-7357.5,0.022,0.02,,1.0
2017,服装和纺织品,1355.0,62121.4,-60766.3,0.01,0.124,,1.0
2017,化学品,13265.6,18228.7,-4963.1,0.102,0.036,,1.0
2017,农产品,24679.1,4541.0,20138.2,0.19,0.009,,1.0
2017,航空器,14955.6,500.0,14455.6,0.115,0.001,,1.0
2017,医疗设备,6995.8,10813.9,-3818.1,0.054,0.022,,1.0
2017,能源产品,7956.1,5433.9,2522.2,0.061,0.011,,1.0
2017,其他商品,3678.6,15259.6,-11581.0,0.028,0.031,,1.0
2018,电子产品,13072.6,152761.7,-139689.0,0.106,0.288,美国开始对中国商品加征关税,1.0
2018,机械设备,15704.8,100415.7,-84710.9,0.127,0.189,美国开始对中国商品加征关税,1.0
2018,家具和寝具,244.4,30172.5,-29928.1,0.002,0.057,美国开始对中国商品加征关税,1.0
2018,玩具和体育用品,242.9,26550.9,-26308.0,0.002,0.05,美国开始对中国商品加征关税,1.0
2018,塑料和橡胶制品,4505.4,18507.5,-14002.1,0.036,0.035,美国开始对中国商品加征关税,1.0
2018,车辆及零部件,8370.2,72942.6,-64572.4,0.068,0.138,美国开始对中国商品加征关税,1.0
2018,钢铁制品,520.4,1914.6,-1394.2,0.004,0.004,美国开始对中国商品加征关税,1.0
2018,服装和纺织品,247.8,58258.1,-58010.3,0.002,0.11,美国开始对中国商品加征关税,1.0
2018,化学品,11728.1,13345.5,-1617.4,0.095,0.025,美国开始对中国商品加征关税,1.0
2018,农产品,5336.5,1098.3,4238.1,0.043,0.002,美国开始对中国商品加征关税,1.0
2018,航空器,12946.2,530.0,12416.2,0.105,0.001,美国开始对中国商品加征关税,1.0
2018,医疗设备,4957.2,4435.8,521.4,0.04,0.008,美国开始对中国商品加征关税,1.0
2018,能源产品,5377.5,1069.6,4307.9,0.044,0.002,美国开始对中国商品加征关税,1.0
2018,其他商品,2458.9,7954.0,-5495.1,0.02,0.015,美国开始对中国商品加征关税,1.0
2019,电子产品,11152.8,140058.9,-128906.1,0.097,0.304,中美贸易战全面升级,1.0
2019,机械设备,14018.8,92153.0,-78134.2,0.123,0.2,中美贸易战全面升级,1.0
2019,家具和寝具,207.1,17077.7,-16870.6,0.002,0.037,中美贸易战全面升级,1.0
2019,玩具和体育用品,250.4,17537.1,-17286.7,0.002,0.038,中美贸易战全面升级,1.0
2019,塑料和橡胶制品,3242.4,8984.7,-5742.3,0.028,0.02,中美贸易战全面升级,1.0
2019,车辆及零部件,5954.4,65598.5,-59644.1,0.052,0.143,中美贸易战全面升级,1.0
2019,钢铁制品,433.7,1822.9,-1389.2,0.004,0.004,中美贸易战全面升级,1.0
2019,服装和纺织品,210.5,42186.8,-41976.2,0.002,0.092,中美贸易战全面升级,1.0
2019,化学品,9017.6,4761.9,4255.7,0.079,0.01,中美贸易战全面升级,1.0
2019,农产品,4604.1,1006.4,3597.7,0.04,0.002,中美贸易战全面升级,1.0
2019,航空器,8796.1,460.0,8336.1,0.077,0.001,中美贸易战全面升级,1.0
2019,医疗设备,4053.6,1677.3,2376.3,0.035,0.004,中美贸易战全面升级,1.0
2019,能源产品,4017.9,844.0,3173.9,0.035,0.002,中美贸易战全面升级,1.0
2019,其他商品,1249.7,2953.7,-1704.0,0.011,0.006,中美贸易战全面升级,1.0
2020,电子产品,8469.0,127944.8,-119475.8,0.077,0.261,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,机械设备,11024.4,81268.2,-70243.7,0.1,0.166,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,家具和寝具,238.6,12742.3,-12503.8,0.002,0.026,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,玩具和体育用品,231.5,11838.5,-11607.0,0.002,0.024,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,塑料和橡胶制品,2098.1,5272.0,-3174.0,0.019,0.011,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,车辆及零部件,3651.4,68816.0,-65164.6,0.033,0.14,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,钢铁制品,466.1,2018.0,-1551.9,0.004,0.004,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,服装和纺织品,243.0,31068.6,-30825.6,0.002,0.063,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,化学品,8343.4,4083.8,4259.6,0.076,0.008,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,农产品,45539.0,888.2,44650.7,0.412,0.002,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,航空器,7728.3,490.0,7238.3,0.07,0.001,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,医疗设备,21660.4,98074.4,-76414.0,0.196,0.2,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,能源产品,1992.6,934.6,1058.0,0.018,0.002,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2020,其他商品,663.0,2695.9,-2032.9,0.006,0.006,中美签署第一阶段贸易协议，COVID-19全球扩散,1.0
2021,电子产品,10473.1,139030.8,-128557.7,0.067,0.242,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,机械设备,15604.7,77153.7,-61549.0,0.1,0.134,拜登政府继续特朗普时期关税政策，供应链重组,1.0
