round,hs_code,product_description,category,implementation_date,initial_tariff_rate,current_tariff_rate,annual_trade_value_millions,tariff_escalation_date
1,8796882302,卡车，功率为2843单位,车辆及其零件、附件,2018-07-06,25,25,82.56,
1,8893682879,航空器、航天器及其零件相关产品，规格型号93682879,航空器、航天器及其零件,2018-07-06,25,25,56.37,
1,8597286167,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,99.4,
1,8745289157,卡车，排量为1326单位,车辆及其零件、附件,2018-07-06,25,25,33.03,
1,8402440536,工业用机械，尺寸不超过207单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,77.91,
1,8745750794,卡车，功率为3233单位,车辆及其零件、附件,2018-07-06,25,25,52.64,
1,8826818205,航空器、航天器及其零件相关产品，规格型号26818205,航空器、航天器及其零件,2018-07-06,25,25,95.26,
1,8838059754,航空器、航天器及其零件相关产品，规格型号38059754,航空器、航天器及其零件,2018-07-06,25,25,63.9,
1,9065011401,光学、照相、医疗等设备及零件相关产品，规格型号65011401,光学、照相、医疗等设备及零件,2018-07-06,25,25,28.03,
1,8506428105,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,77.28,
1,8888191615,航空器、航天器及其零件相关产品，规格型号88191615,航空器、航天器及其零件,2018-07-06,25,25,62.75,
1,8784599826,卡车，功率为4822单位,车辆及其零件、附件,2018-07-06,25,25,95.25,
1,8499389435,工业用设备，尺寸不超过347单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,88.22,
1,9032141271,光学、照相、医疗等设备及零件相关产品，规格型号32141271,光学、照相、医疗等设备及零件,2018-07-06,25,25,38.86,
1,8531549333,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,45.98,
1,8500084327,电气设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,28.02,
1,8823710516,航空器、航天器及其零件相关产品，规格型号23710516,航空器、航天器及其零件,2018-07-06,25,25,7.04,
1,8818308222,航空器、航天器及其零件相关产品，规格型号18308222,航空器、航天器及其零件,2018-07-06,25,25,26.6,
1,8766067557,摩托车，功率为1967单位,车辆及其零件、附件,2018-07-06,25,25,48.64,
1,8794121806,卡车，排量为4799单位,车辆及其零件、附件,2018-07-06,25,25,71.57,
1,8769526754,摩托车，功率为4395单位,车辆及其零件、附件,2018-07-06,25,25,7.9,
1,8567487419,电气设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,5.52,
1,8803954774,航空器、航天器及其零件相关产品，规格型号03954774,航空器、航天器及其零件,2018-07-06,25,25,95.92,
1,8807335314,航空器、航天器及其零件相关产品，规格型号07335314,航空器、航天器及其零件,2018-07-06,25,25,36.0,
1,8499925696,农业用设备，功率不超过633单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,88.89,
1,8820932485,航空器、航天器及其零件相关产品，规格型号20932485,航空器、航天器及其零件,2018-07-06,25,25,51.67,
1,8591374520,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,92.03,
1,8523372901,通信设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,47.34,
1,8727850817,摩托车，排量为1561单位,车辆及其零件、附件,2018-07-06,25,25,34.76,
1,8710490877,乘用车，排量为1164单位,车辆及其零件、附件,2018-07-06,25,25,58.19,
1,8813693632,航空器、航天器及其零件相关产品，规格型号13693632,航空器、航天器及其零件,2018-07-06,25,25,77.32,
1,8773983608,拖拉机，排量为1410单位,车辆及其零件、附件,2018-07-06,25,25,93.58,
1,8722894119,摩托车，排量为2805单位,车辆及其零件、附件,2018-07-06,25,25,38.74,
1,8431801226,农业用器具，功率不超过311单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,59.03,
1,8548182145,通信设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,3.08,
1,8851301250,航空器、航天器及其零件相关产品，规格型号51301250,航空器、航天器及其零件,2018-07-06,25,25,77.96,
1,8820162416,航空器、航天器及其零件相关产品，规格型号20162416,航空器、航天器及其零件,2018-07-06,25,25,73.68,
1,8566362588,电子设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,44.35,
1,8406505541,农业用设备，重量不超过362单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,47.3,
1,8443147926,商用用机械，尺寸不超过190单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,86.43,
1,8423991248,农业用器具，功率不超过301单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,97.13,
1,9019621043,光学、照相、医疗等设备及零件相关产品，规格型号19621043,光学、照相、医疗等设备及零件,2018-07-06,25,25,94.99,
1,8535303219,电气设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,35.96,
1,8416413607,工业用器具，功率不超过830单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,81.38,
1,9020565539,光学、照相、医疗等设备及零件相关产品，规格型号20565539,光学、照相、医疗等设备及零件,2018-07-06,25,25,4.73,
