hs_code,description,original_duty,additional_duty,total_duty,round
8414.59.10,工业风扇及其零件-1,2.5,25.0,27.5,第一轮
8414.59.11,工业风扇及其零件-2,2.5,25.0,27.5,第一轮
8414.59.12,工业风扇及其零件-3,2.5,25.0,27.5,第一轮
8414.59.13,工业风扇及其零件-4,2.5,25.0,27.5,第一轮
8414.59.14,工业风扇及其零件-5,2.5,25.0,27.5,第一轮
8414.59.15,工业风扇及其零件-6,2.5,25.0,27.5,第一轮
8414.59.16,工业风扇及其零件-7,2.5,25.0,27.5,第一轮
8414.59.17,工业风扇及其零件-8,2.5,25.0,27.5,第一轮
8414.59.18,工业风扇及其零件-9,2.5,25.0,27.5,第一轮
8414.59.19,工业风扇及其零件-10,2.5,25.0,27.5,第一轮
8414.59.20,工业风扇及其零件-11,2.5,25.0,27.5,第一轮
8414.59.21,工业风扇及其零件-12,2.5,25.0,27.5,第一轮
8414.59.22,工业风扇及其零件-13,2.5,25.0,27.5,第一轮
8414.59.23,工业风扇及其零件-14,2.5,25.0,27.5,第一轮
8414.59.24,工业风扇及其零件-15,2.5,25.0,27.5,第一轮
8414.59.25,工业风扇及其零件-16,2.5,25.0,27.5,第一轮
8414.59.26,工业风扇及其零件-17,2.5,25.0,27.5,第一轮
8414.59.27,工业风扇及其零件-18,2.5,25.0,27.5,第一轮
8414.59.28,工业风扇及其零件-19,2.5,25.0,27.5,第一轮
8414.59.29,工业风扇及其零件-20,2.5,25.0,27.5,第一轮
3901.10.10,聚乙烯初级形状-1,1.5,25.0,26.5,第二轮
3901.10.11,聚乙烯初级形状-2,1.5,25.0,26.5,第二轮
3901.10.12,聚乙烯初级形状-3,1.5,25.0,26.5,第二轮
3901.10.13,聚乙烯初级形状-4,1.5,25.0,26.5,第二轮
3901.10.14,聚乙烯初级形状-5,1.5,25.0,26.5,第二轮
3901.10.15,聚乙烯初级形状-6,1.5,25.0,26.5,第二轮
3901.10.16,聚乙烯初级形状-7,1.5,25.0,26.5,第二轮
3901.10.17,聚乙烯初级形状-8,1.5,25.0,26.5,第二轮
3901.10.18,聚乙烯初级形状-9,1.5,25.0,26.5,第二轮
3901.10.19,聚乙烯初级形状-10,1.5,25.0,26.5,第二轮
3901.10.20,聚乙烯初级形状-11,1.5,25.0,26.5,第二轮
3901.10.21,聚乙烯初级形状-12,1.5,25.0,26.5,第二轮
3901.10.22,聚乙烯初级形状-13,1.5,25.0,26.5,第二轮
3901.10.23,聚乙烯初级形状-14,1.5,25.0,26.5,第二轮
3901.10.24,聚乙烯初级形状-15,1.5,25.0,26.5,第二轮
