hs_code,description,original_duty,additional_duty,total_duty,round
3901.10.10,聚乙烯初级形状-1,1.5,25.0,26.5,第二轮
3901.10.11,聚乙烯初级形状-2,1.5,25.0,26.5,第二轮
3901.10.12,聚乙烯初级形状-3,1.5,25.0,26.5,第二轮
3901.10.13,聚乙烯初级形状-4,1.5,25.0,26.5,第二轮
3901.10.14,聚乙烯初级形状-5,1.5,25.0,26.5,第二轮
3901.10.15,聚乙烯初级形状-6,1.5,25.0,26.5,第二轮
3901.10.16,聚乙烯初级形状-7,1.5,25.0,26.5,第二轮
3901.10.17,聚乙烯初级形状-8,1.5,25.0,26.5,第二轮
3901.10.18,聚乙烯初级形状-9,1.5,25.0,26.5,第二轮
3901.10.19,聚乙烯初级形状-10,1.5,25.0,26.5,第二轮
3901.10.20,聚乙烯初级形状-11,1.5,25.0,26.5,第二轮
3901.10.21,聚乙烯初级形状-12,1.5,25.0,26.5,第二轮
3901.10.22,聚乙烯初级形状-13,1.5,25.0,26.5,第二轮
3901.10.23,聚乙烯初级形状-14,1.5,25.0,26.5,第二轮
3901.10.24,聚乙烯初级形状-15,1.5,25.0,26.5,第二轮
